data_snr_db,method,ber,ci_low,ci_high,frames,bits,errors,target_bit_errors,max_bits,min_frames,modulation,pdr_db,solver,effective_channel_method
10.0,conventional,0.06800348735832606,0.05482919038897916,0.08406175553200723,1,1147,78,1,4096,1,bpsk,5.0,dense,fast
10.0,teacher,0.006102877070619006,0.0029593321311972625,0.012543636313280628,1,1147,7,1,4096,1,bpsk,5.0,dense,fast
10.0,student,0.4847428073234525,0.4559196166065437,0.5136678537337536,1,1147,556,1,4096,1,bpsk,5.0,dense,fast
10.0,perfect,0.006974716652136007,0.0035383629284271353,0.013702464353748058,1,1147,8,1,4096,1,bpsk,5.0,dense,fast
15.0,conventional,0.08369659982563209,0.06902619556930344,0.1011462094302344,1,1147,96,1,4096,1,bpsk,5.0,dense,fast
15.0,teacher,0.0017436791630340018,0.0004783100283938025,0.006335364227597574,1,1147,2,1,4096,1,bpsk,5.0,dense,fast
15.0,student,0.4960767218831735,0.46720317816978035,0.5249764570605818,1,1147,569,1,4096,1,bpsk,5.0,dense,fast
15.0,perfect,0.0008718395815170009,0.00015391767576788213,0.00492189774252619,1,1147,1,1,4096,1,bpsk,5.0,dense,fast
