pdr_db,method,nmse,ci_low,ci_high,realizations,modulation,data_snr_db,effective_channel_method
0.0,conventional,0.08520705066621304,0.05270205810666084,0.11771204322576523,2,bpsk,15.0,fast
0.0,teacher,0.01382384542375803,0.009059017524123192,0.018588673323392868,2,bpsk,15.0,fast
0.0,student,1.1491263508796692,1.045050024986267,1.2532026767730713,2,bpsk,15.0,fast
0.0,perfect,0.0,0.0,0.0,2,bpsk,15.0,fast
20.0,conventional,0.10242003947496414,0.09078612178564072,0.11405395716428757,2,bpsk,15.0,fast
20.0,teacher,0.0003707099240273237,0.000333387462887913,0.00040803238516673446,2,bpsk,15.0,fast
20.0,student,1.1027302742004395,1.0892491340637207,1.1162114143371582,2,bpsk,15.0,fast
20.0,perfect,0.0,0.0,0.0,2,bpsk,15.0,fast
