pdr_db,method,ber,ci_low,ci_high,frames,bits,errors,target_bit_errors,max_bits,min_frames,modulation,data_snr_db,solver,effective_channel_method
0.0,conventional,0.025864574251671026,0.021066384895842675,0.03172021239590778,3,3441,89,1,4096,1,bpsk,18.0,dense,fast
0.0,teacher,0.002034292356873002,0.0009857673269509579,0.004193414076306411,3,3441,7,1,4096,1,bpsk,18.0,dense,fast
0.0,student,0.4960767218831735,0.4793848014281231,0.5127773922975519,3,3441,1707,1,4096,1,bpsk,18.0,dense,fast
0.0,perfect,0.0005812263876780006,0.00015940771312380943,0.0021168824774205662,3,3441,2,1,4096,1,bpsk,18.0,dense,fast
20.0,conventional,0.3644289450741064,0.3506217745326072,0.37846294863213986,4,4588,1672,1,4096,1,bpsk,18.0,dense,fast
20.0,teacher,0.0,0.0,0.0008365835047102672,4,4588,0,1,4096,1,bpsk,18.0,dense,fast
20.0,student,0.5054489973844812,0.4909834202940289,0.5199054573922754,4,4588,2319,1,4096,1,bpsk,18.0,dense,fast
20.0,perfect,0.0,0.0,0.0008365835047102672,4,4588,0,1,4096,1,bpsk,18.0,dense,fast
