data_snr_db,method,nmse,ci_low,ci_high,realizations,modulation,pdr_db,effective_channel_method
10.0,conventional,0.07432526116259396,0.06657425620174034,0.08238945053820497,200,bpsk,5.0,fast
10.0,teacher,0.004901495269150473,0.004678220946821967,0.005133094979479211,200,bpsk,5.0,fast
10.0,student,0.006039182452950626,0.005765785266819876,0.0063234113867511035,200,bpsk,5.0,fast
10.0,perfect,0.0,0.0,0.0,200,bpsk,5.0,fast
15.0,conventional,0.07487380216363818,0.06809048351855018,0.08189725893724244,200,bpsk,5.0,fast
15.0,teacher,0.004351680293912068,0.004165556854204624,0.004552500489575322,200,bpsk,5.0,fast
15.0,student,0.005366538445232436,0.0051425824960460885,0.0055869748585973865,200,bpsk,5.0,fast
15.0,perfect,0.0,0.0,0.0,200,bpsk,5.0,fast
20.0,conventional,0.07835844543762505,0.07164643453527242,0.08584920822782442,200,bpsk,5.0,fast
20.0,teacher,0.004226750761736184,0.004062516184101696,0.0043988891547487585,200,bpsk,5.0,fast
20.0,student,0.005180967308115214,0.0049856346070591825,0.005411779850779567,200,bpsk,5.0,fast
20.0,perfect,0.0,0.0,0.0,200,bpsk,5.0,fast
