pdr_db,method,nmse,ci_low,ci_high,realizations,modulation,data_snr_db,effective_channel_method
0.0,conventional,0.09832832721062004,0.09030510261841118,0.10802262006746605,200,bpsk,15.0,fast
0.0,teacher,0.011989443809725345,0.011405455206346232,0.012535379189474042,200,bpsk,15.0,fast
0.0,student,0.014561601877212525,0.013926869998918847,0.015143788354529534,200,bpsk,15.0,fast
0.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
5.0,conventional,0.0814096933696419,0.07326694922568276,0.08892621687124483,200,bpsk,15.0,fast
5.0,teacher,0.004352047001593746,0.004162316479720175,0.004555493664840469,200,bpsk,15.0,fast
5.0,student,0.005248999979812652,0.005009030264773173,0.005438399061531527,200,bpsk,15.0,fast
5.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
20.0,conventional,0.06054900656919927,0.05436486156377941,0.06715270773216615,200,bpsk,15.0,fast
20.0,teacher,0.0004231682121462654,0.00040043368161059333,0.00044945683227342665,200,bpsk,15.0,fast
20.0,student,0.0006202439028129448,0.0005887616195323062,0.0006509478252555708,200,bpsk,15.0,fast
20.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
25.0,conventional,0.06838788717985153,0.06111074963095598,0.07689601593732368,200,bpsk,15.0,fast
25.0,teacher,0.00032411348533059934,0.0003047852660783974,0.0003429910650465899,200,bpsk,15.0,fast
25.0,student,0.0005360959558311151,0.0005036154791578155,0.000574279132137235,200,bpsk,15.0,fast
25.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
30.0,conventional,0.06040494007989764,0.0561626135436818,0.06503439707914367,200,bpsk,15.0,fast
30.0,teacher,0.00027892771759070457,0.0002652462684236525,0.00029412481991130334,200,bpsk,15.0,fast
30.0,student,0.0004850584259838797,0.0004588084757415345,0.0005130881498480449,200,bpsk,15.0,fast
30.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
35.0,conventional,0.06200218341313302,0.056339424531906844,0.06744045707699842,200,bpsk,15.0,fast
35.0,teacher,0.0002666622496326454,0.0002511869346762978,0.0002854622881332034,200,bpsk,15.0,fast
35.0,student,0.00045700324379140513,0.0004340878348448314,0.00048021230020276563,200,bpsk,15.0,fast
35.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
